alias_name,price,commented,screen_size,cost_efficient,performance,endurance,appearance,camera_performance,days,ba_cap,ram,rom
2014216,799,93,5.15,5,6,5,7,6,1368,2860,3,64
2014218,799,93,5.15,5,6,5,7,6,1368,2860,3,64
2014501,599,892,4.7,6,5,4,5,5,2221,2200,1,8
2014502,2599,17,6.67,9,9,8,8,8,29,5000,8,128
2014512,2599,17,6.67,9,9,8,8,8,29,5000,8,128
2014616,999,124,6.3,7,6,7,7,7,685,4000,3,32
2014617,999,124,6.3,7,6,7,7,7,685,4000,3,32
2014618,999,124,6.3,7,6,7,7,7,685,4000,3,32
2014619,999,124,6.3,7,6,7,7,7,685,4000,3,32
2014712,1599,1,6.67,6,6,8,6,8,0,4820,6,128
2014715,1599,1,6.67,6,6,8,6,8,0,4820,6,128
2014716,799,93,5.15,5,6,5,7,6,1368,2860,3,64
2014719,799,93,5.15,5,6,5,7,6,1368,2860,3,64
2014726,799,93,5.15,5,6,5,7,6,1368,2860,3,64
2014811,498,8,5.45,7,5,6,7,5,899,3000,2,16
2014812,498,8,5.45,7,5,6,7,5,899,3000,2,16
2014813,498,8,5.45,7,5,6,7,5,899,3000,2,16
2014816,2599,17,6.67,9,9,8,8,8,29,5000,8,128
2014817,498,8,5.45,7,5,6,7,5,899,3000,2,16
2014818,498,8,5.45,7,5,6,7,5,899,3000,2,16
2014819,498,8,5.45,7,5,6,7,5,899,3000,2,16
2014821,498,8,5.45,7,5,6,7,5,899,3000,2,16
2014910,999,2903,5.5,5,5,5,5,5,2405,3100,2,8
2014911,999,2903,5.5,5,5,5,5,5,2405,3100,2,8
2014912,999,2903,5.5,5,5,5,5,5,2405,3100,2,8
2014915,999,2903,5.5,5,5,5,5,5,2405,3100,2,8
2014916,999,2903,5.5,5,5,5,5,5,2405,3100,2,8
2015011,999,124,6.3,7,6,7,7,7,685,4000,3,32
2015015,799,548,5.0,5,6,5,6,6,1917,3080,2,16
2015021,2499,1241,5.7,5,4,5,6,6,2040,3010,4,64
2015022,2499,1241,5.7,5,4,5,6,6,2040,3010,4,64
2015051,738,298,5.5,6,4,6,6,5,1398,4100,2,16
2015052,738,298,5.5,6,4,6,6,5,1398,4100,2,16
2015055,738,298,5.5,6,4,6,6,5,1398,4100,2,16
2015056,738,298,5.5,6,4,6,6,5,1398,4100,2,16
2015105,5299,15,6.67,9,10,9,8,8,106,4500,8,128
2015112,999,124,6.3,7,6,7,7,7,685,4000,3,32
2015115,999,124,6.3,7,6,7,7,7,685,4000,3,32
2015116,999,124,6.3,7,6,7,7,7,685,4000,3,32
20151209T,369,2,5.0,5,5,4,4,4,1735,2000,1,8
2015161,999,124,6.3,7,6,7,7,7,685,4000,3,32
2015201,5299,15,6.67,9,10,9,8,8,106,4500,8,128
2015211,0,190,5.7,6,10,6,6,6,0,3500,4,32
2015212,0,190,5.7,6,10,6,6,6,0,3500,4,32
2015213,0,190,5.7,6,10,6,6,6,0,3500,4,32
2015501,2499,1241,5.7,5,4,5,6,6,2040,3010,4,64
2015561,889,548,5.0,5,6,5,6,6,1917,3080,3,32
2015562,889,548,5.0,5,6,5,6,6,1917,3080,3,32
2015611,999,124,6.3,7,6,7,7,7,685,4000,3,32
2015617,999,124,6.3,7,6,7,7,7,685,4000,3,32
2015628,5299,15,6.67,9,10,9,8,8,106,4500,8,128
2015711,769,243,5.15,6,8,5,5,6,1551,3200,3,64
2015712,738,298,5.5,6,4,6,6,5,1398,4100,2,16
2015810,999,124,6.3,7,6,7,7,7,685,4000,3,32
2015811,999,124,6.3,7,6,7,7,7,685,4000,3,32
2015812,999,124,6.3,7,6,7,7,7,685,4000,3,32
2015815,999,124,6.3,7,6,7,7,7,685,4000,3,32
2015816,999,124,6.3,7,6,7,7,7,685,4000,3,32
2015817,999,124,6.3,7,6,7,7,7,685,4000,3,32
2015818,999,124,6.3,7,6,7,7,7,685,4000,3,32
2015819,999,124,6.3,7,6,7,7,7,685,4000,3,32
2015911,1389,178,5.0,4,6,4,6,5,1764,3260,2,16
2016001,1799,91,6.9,6,5,6,5,5,883,5500,6,128
2016002,1799,91,6.9,6,5,6,5,5,883,5500,6,128
2016007,1799,91,6.9,6,5,6,5,5,883,5500,6,128
2016020,1599,1,6.67,6,6,8,6,8,0,4820,6,128
2016021,1599,1,6.67,6,6,8,6,8,0,4820,6,128
2016030,829,170,5.0,5,3,6,5,5,1643,4100,3,32
2016031,829,170,5.0,5,3,6,5,5,1643,4100,3,32
2016032,829,170,5.0,5,3,6,5,5,1643,4100,3,32
2016033,800,43,5.0,4,3,6,5,5,1582,4100,2,32
2016035,800,43,5.0,4,3,6,5,5,1582,4100,2,32
2016036,800,43,5.0,4,3,6,5,5,1582,4100,2,32
2016037,829,170,5.0,5,3,6,5,5,1643,4100,3,32
2016050,999,0,6.53,0,0,0,0,0,4,6000,4,128
2016051,999,0,6.53,0,0,0,0,0,4,6000,4,128
2016060,999,4,6.53,6,5,6,5,5,188,5020,4,128
2016070,1299,161,5.7,6,10,6,5,5,1551,3800,4,64
2016080,3699,165,6.39,9,9,7,8,8,760,3200,8,128
2016089,799,93,5.15,5,6,5,7,6,1368,2860,3,64
2016090,999,4,6.53,6,5,6,5,5,188,5020,4,128
2016100,999,0,6.53,0,0,0,0,0,4,6000,4,128
2016101,999,0,6.53,0,0,0,0,0,4,6000,4,128
2016102,999,0,6.53,0,0,0,0,0,4,6000,4,128
2016111,599,66,5.0,6,2,6,6,5,1370,3120,3,32
2016112,599,66,5.0,6,2,6,6,5,1370,3120,3,32
2016116,599,66,5.0,6,2,6,6,5,1370,3120,3,32
2016117,599,66,5.0,6,2,6,6,5,1370,3120,3,32
2016130,999,0,6.53,0,0,0,0,0,4,6000,4,128
2017版GALAXY A3,0,4,4.7,7,7,7,8,7,0,3000,2,16
2017版盖乐世J3,888,10,5.0,3,2,4,5,4,1217,2600,3,32
2017版盖乐世J7,0,0,5.5,0,0,0,0,0,1429,3000,2,16
2018,7288,7,4.2,4,6,4,7,5,1095,2300,6,64
2018 max,0,1,5.5,0,0,0,0,0,1064,4000,3,32
2018款iPhone,0,4,6.1,0,0,0,0,0,809,0,0,0
2019,14458,0,4.2,0,0,0,0,0,752,3070,6,128
2019 MIX,19999,17,7.92,4,7,5,7,7,365,4050,12,512
2019 Plus,1399,34,6.59,6,7,6,7,6,447,4000,4,128
2019款iPhone,0,1,6.1,0,0,0,0,0,444,0,0,0
2020,3299,63,4.7,9,10,6,9,8,220,1821,3,64
20Pro,2699,31,6.26,8,9,8,9,9,548,4000,8,256
21克 M1F,1218,32,2.31,6,6,8,8,4,1979,2600,0,0
27,2798,180,6.39,8,8,10,10,10,640,4000,8,256
2q741,0,0,,0,0,0,0,0,699,0,6,128
3007,1299,177,4.7,4,5,4,5,6,2221,2000,1,8
306,369,89,5.0,7,6,6,7,5,2344,1800,0,4
308,270,79,4.0,5,4,6,6,5,2678,1500,0,0
360 1801-A01,1099,81,5.99,8,7,9,8,8,1125,4050,6,64
360 1809-A01,1599,263,5.99,7,7,8,7,7,852,4000,6,64
360 n7 lite,1599,20,5.99,6,5,6,5,5,852,4050,6,128
360 n7 pro,1599,263,5.99,7,7,8,7,7,852,4000,6,64
403SH,0,0,,0,0,0,0,0,0,0,0,0
418,0,0,,0,0,0,0,0,6087,0,0,0
4A,4999,0,5.81,0,0,0,0,0,334,3140,6,128
4G,999,0,6.53,0,0,0,0,0,4,6000,4,128
4G Volte,3399,20,6.55,9,9,9,9,9,42,4500,8,128
4G+,999,0,6.53,0,0,0,0,0,4,6000,4,128
501,700,989,5.5,7,4,5,7,6,1887,3000,3,16
5G,6999,19,6.76,9,9,8,9,8,31,4400,8,256
5G Pro,6999,19,6.76,9,9,8,9,8,31,4400,8,256
5G+,6999,19,6.76,9,9,8,9,8,31,4400,8,256
5Splus,2299,161,5.7,6,10,6,5,5,1551,3800,6,128
5z,1499,25,6.268,8,9,9,8,7,426,4000,6,64
6000,0,12,3.7,0,0,0,0,0,3621,1500,0,0
6607,1699,118,5.9,5,6,5,5,5,2221,3100,2,16
6X,919,163,5.99,6,6,4,6,6,948,3010,6,64
7 Plus,2799,358,5.5,7,9,8,8,8,1536,2900,3,32
713-A01,599,31,5.5,7,3,8,8,7,1082,4020,4,32
7722标准版,199,6,5.0,5,5,4,6,7,2040,2000,1,8
7D-501u,1999,700,7.0,7,7,7,7,6,2344,5000,2,16
7D-503L,1999,700,7.0,7,7,7,7,6,2344,5000,2,16
7D-503LT,1999,700,7.0,7,7,7,7,6,2344,5000,2,16
7PLUS,849,183,5.5,8,5,8,7,6,1312,4000,4,64
7S,1798,13,6.38,9,8,8,8,9,518,4500,6,128
7i,1460,0,6.5,0,0,0,0,0,90,5000,8,128
8 Lite,773,277,5.2,8,6,7,8,8,1371,3000,3,32
8298-A01,338,39,5.0,8,2,6,6,7,1917,2500,2,8
8298-M02,379,39,5.0,8,2,6,6,7,1917,2500,2,8
8676-A01,750,303,5.5,7,2,7,7,7,1795,3000,3,32
8676-M01,700,303,5.5,7,2,7,7,7,1979,3000,2,16
8681-A01,699,127,5.5,5,6,6,6,6,1948,3000,2,16
8681-M01,699,127,5.5,5,6,6,6,6,1948,3000,2,16
8681-M02,699,127,5.5,5,6,6,6,6,1948,3000,2,16
8692-A00,1179,312,6.0,7,4,8,8,8,1948,3700,3,16
8692-M02,1179,312,6.0,7,4,8,8,8,1948,3700,3,16
8848 M3,15999,44,5.0,4,5,6,6,6,1613,3200,4,128
8848 M4,15999,20,5.15,5,6,6,7,6,1217,3200,6,128
8848 M5,16999,25,5.65,7,7,7,7,7,821,3450,6,256
8848 M5祥龙,29999,25,5.7,7,7,7,7,7,730,3450,6,256
8848 M6,16999,20,6.01,3,7,9,9,6,243,4380,8,512
8848 M6尊享版,12989,20,6.01,3,7,9,9,6,243,4380,8,256
8848 M6巅峰版,16999,20,6.01,3,7,9,9,6,243,4380,8,512
8848 M6牛皮,19999,0,6.01,0,0,0,0,0,334,4380,12,0
8848 M6祥龙限量版,44999,0,6.01,0,0,0,0,0,334,4380,12,512
8848 M6蜥蜴皮,23999,0,6.01,0,0,0,0,0,334,4380,12,0
8848 M6风尚版,9999,20,6.01,3,7,9,9,6,243,4380,8,256
8848 M6鳄鱼皮,29999,0,6.01,0,0,0,0,0,334,4380,12,0
8848 超跑限量款,19999,20,6.01,3,7,9,9,6,334,4380,12,512
8848M6祥龙限量版,44999,0,6.01,0,0,0,0,0,334,4380,12,512
8848超跑限量款,19999,20,6.01,3,7,9,9,6,334,4380,12,512
8S,1599,230,6.4,7,8,8,8,8,721,3400,6,128
8X,1198,153,6.5,8,8,8,9,8,821,3750,4,64
8XMax,1449,174,7.12,8,7,8,8,7,791,5000,6,64
970,4988,1,6.47,6,8,6,5,8,699,4000,6,128
9E,999,4,6.087999999999999,7,5,4,7,5,640,3020,3,32
A-11,5499,58,6.1,6,10,6,6,7,437,3110,4,64
A0001,500,0,,0,0,0,0,0,0,800,0,0
A0101,3699,25,6.67,9,9,8,7,8,334,4780,8,128
A0722,886,3,5.45,0,0,0,0,0,821,3200,4,64
A1,3799,20,5.99,5,9,5,7,8,668,3320,6,128
A1 Plus,3799,20,5.99,5,9,5,7,8,668,3320,6,128
A1 Q,1099,20,5.0,0,0,0,0,0,1339,4050,3,32
A10,0,0,6.2,0,0,0,0,0,699,3400,2,32
A10-4G,4482,0,6.0,0,0,0,0,0,2009,0,3,32
A107,0,0,1.5,0,0,0,0,0,3986,0,0,0
A108,135,1,,0,0,0,0,0,3501,950,0,0
A11,1099,79,6.5,9,9,10,9,9,426,5000,4,128
A1203,9299,20,6.7,8,10,8,8,9,24,3687,6,128
A1241,9299,20,6.7,8,10,8,8,9,24,3687,6,128
A1303,4700,95,3.5,6,6,6,7,6,4078,0,0,32
A1324,9299,20,6.7,8,10,8,8,9,24,3687,6,128
A1325,4700,95,3.5,6,6,6,7,6,4078,0,0,32
A1332,5499,58,6.1,6,10,6,6,7,437,3110,4,64
A1349,5499,58,6.1,6,10,6,6,7,437,3110,4,64
A1387,4900,1163,3.5,7,4,6,9,8,3348,1420,0,0
A1428,9299,20,6.7,8,10,8,8,9,24,3687,6,128
A1429,9299,20,6.7,8,10,8,8,9,24,3687,6,128
A1431,4900,1163,3.5,7,4,6,9,8,3348,1420,0,0
A1442,9299,20,6.7,8,10,8,8,9,24,3687,6,128
A1453,1199,2802,4.0,7,6,7,9,9,2647,1560,1,16
A1456,2799,934,4.0,7,8,6,8,8,2647,1510,1,8
A1457,1199,2802,4.0,7,6,7,9,9,2647,1560,1,16
A1507,2799,934,4.0,7,8,6,8,8,2647,1510,1,8
A1516,2799,934,4.0,7,8,6,8,8,2647,1510,1,8
A1518,1199,2802,4.0,7,6,7,9,9,2647,1560,1,16
A1522,3548,133,5.5,9,10,8,8,9,1186,2675,3,64
A1524,3548,133,5.5,9,10,8,8,9,1186,2675,3,64
A1526,2799,934,4.0,7,8,6,8,8,2647,1510,1,8
A1528,1199,2802,4.0,7,6,7,9,9,2647,1560,1,16
A1529,2799,934,4.0,7,8,6,8,8,2647,1510,1,8
A1530,1199,2802,4.0,7,6,7,9,9,2647,1560,1,16
A1532,2799,934,4.0,7,8,6,8,8,2647,1510,1,8
A1533,1199,2802,4.0,7,6,7,9,9,2647,1560,1,16
A1549,9299,20,6.7,8,10,8,8,9,24,3687,6,128
A1586,9299,20,6.7,8,10,8,8,9,24,3687,6,128
A1589,9299,20,6.7,8,10,8,8,9,24,3687,6,128
A1593,3548,133,5.5,9,10,8,8,9,1186,2675,3,64
A1633,3600,284,5.5,6,10,7,8,8,1856,2750,2,16
A1634,3600,284,5.5,6,10,7,8,8,1856,2750,2,16
A1660,2799,358,5.5,7,9,8,8,8,1536,2900,3,32
A1661,2799,358,5.5,7,9,8,8,8,1536,2900,3,32
A1662,3299,63,4.7,9,10,6,9,8,220,1821,3,64
A1687,3600,284,5.5,6,10,7,8,8,1856,2750,2,16
A1688,3600,284,5.5,6,10,7,8,8,1856,2750,2,16
A1690,3600,284,5.5,6,10,7,8,8,1856,2750,2,16
A1691,3600,284,5.5,6,10,7,8,8,1856,2750,2,16
A1699,3600,284,5.5,6,10,7,8,8,1856,2750,2,16
A1700,3600,284,5.5,6,10,7,8,8,1856,2750,2,16
A1723,3299,63,4.7,9,10,6,9,8,220,1821,3,64
A1724,3299,63,4.7,9,10,6,9,8,220,1821,3,64
A1778,2799,358,5.5,7,9,8,8,8,1536,2900,3,32
A1779,2799,358,5.5,7,9,8,8,8,1536,2900,3,32
A1780,2799,358,5.5,7,9,8,8,8,1536,2900,3,32
A1784,2799,358,5.5,7,9,8,8,8,1536,2900,3,32
A1785,2799,358,5.5,7,9,8,8,8,1536,2900,3,32
A1786,2799,358,5.5,7,9,8,8,8,1536,2900,3,32
A1863,3548,133,5.5,9,10,8,8,9,1186,2675,3,64
A1864,3548,133,5.5,9,10,8,8,9,1186,2675,3,64
A1865,4299,246,5.8,9,10,8,8,9,1125,2716,3,64
A1897,3548,133,5.5,9,10,8,8,9,1186,2675,3,64
A1898,3548,133,5.5,9,10,8,8,9,1186,2675,3,64
A1899,3548,133,5.5,9,10,8,8,9,1186,2675,3,64
A19,1299,0,,0,0,0,0,0,5569,0,0,0
A1901,4299,246,5.8,9,10,8,8,9,1125,2716,3,64
A1902,4299,246,5.8,9,10,8,8,9,1125,2716,3,64
A1903,4299,246,5.8,9,10,8,8,9,1125,2716,3,64
A1905,3548,133,5.5,9,10,8,8,9,1186,2675,3,64
A1906,3548,133,5.5,9,10,8,8,9,1186,2675,3,64
A1907,3548,133,5.5,9,10,8,8,9,1186,2675,3,64
A1920,5028,171,6.5,8,9,8,8,8,801,3174,4,64
A1921,5028,171,6.5,8,9,8,8,8,801,3174,4,64
A1984,3834,179,6.1,8,9,8,8,8,766,2942,3,64
A1Q,1099,20,5.0,0,0,0,0,0,1339,4050,3,32
A2,1126,1,5.99,0,0,0,0,0,1064,3010,4,64
A20,2198,2,6.92,9,8,10,8,8,81,4220,6,128
A2017,1159,139,5.5,7,8,7,8,8,1674,3250,4,64
A2097,5028,171,6.5,8,9,8,8,8,801,3174,4,64
A2098,5028,171,6.5,8,9,8,8,8,801,3174,4,64
A2099,5028,171,6.5,8,9,8,8,8,801,3174,4,64
A2100,6999,171,6.5,8,9,8,8,8,801,3174,4,64
A2101,5028,171,6.5,8,9,8,8,8,801,3174,4,64
A2102,5028,171,6.5,8,9,8,8,8,801,3174,4,64
A2103,5028,171,6.5,8,9,8,8,8,801,3174,4,64
A2104,8188,171,6.5,8,9,8,8,8,801,3174,4,64
A2105,3834,179,6.1,8,9,8,8,8,766,2942,3,64
A2106,3834,179,6.1,8,9,8,8,8,766,2942,3,64
A2107,3834,179,6.1,8,9,8,8,8,766,2942,3,64
A2108,3899,179,6.1,8,9,8,8,8,699,2942,3,64
A2111,5499,58,6.1,6,10,6,6,7,437,3110,4,64
A2160,9599,52,6.5,5,10,6,6,7,456,3969,4,64
A2161,9299,20,6.7,8,10,8,8,9,24,3687,6,128
A2172,9299,20,6.7,8,10,8,8,9,24,3687,6,128
A2176,5499,16,5.4,9,10,8,8,9,24,2227,4,64
A22,498,8,5.45,7,5,6,7,5,899,3000,2,16
A2215,9599,52,6.5,5,10,6,6,7,456,3969,4,64
A2216,9599,52,6.5,5,10,6,6,7,456,3969,4,64
A2217,9599,52,6.5,7,10,8,7,9,437,3969,4,64
A2218,9299,20,6.7,8,10,8,8,9,24,3687,6,128
A2219,9299,20,6.7,8,10,8,8,9,24,3687,6,128
A2220,9299,20,6.7,8,10,8,8,9,24,3687,6,128
A2221,5499,58,6.1,6,10,6,6,7,437,3110,4,64
A2222,5499,58,6.1,6,10,6,6,7,437,3110,4,64
A2223,5499,58,6.1,6,10,6,6,7,437,3110,4,64
A2341,9299,20,6.7,8,10,8,8,9,24,3687,6,128
A2342,9299,20,6.7,8,10,8,8,9,24,3687,6,128
A2398,5499,16,5.4,9,10,8,8,9,24,2227,4,64
A2399,5499,16,5.4,9,10,8,8,9,24,2227,4,64
A2400,5499,16,5.4,9,10,8,8,9,24,2227,4,64
A2402,9299,20,6.7,8,10,8,8,9,24,3687,6,128
A2403,9299,20,6.7,8,10,8,8,9,24,3687,6,128
A2404,9299,20,6.7,9,10,8,9,9,24,3687,6,64
A2406,9299,20,6.7,8,10,8,8,9,24,3687,6,128
A2407,9299,20,6.7,8,10,8,8,9,24,3687,6,128
A2408,9299,20,6.7,8,10,8,8,9,24,3687,6,128
A2410,9299,20,6.7,8,10,8,8,9,24,3687,6,128
A2411,9299,20,6.7,8,10,8,8,9,24,3687,6,128
A2412,9299,20,6.7,8,10,8,8,9,24,3687,6,128
A28,0,0,,0,0,0,0,0,6178,0,0,0
A3,0,0,6.087999999999999,0,0,0,0,0,699,4030,4,128
A3000,1250,16,2.8,0,0,0,0,0,4320,1130,0,0
A31,999,378,4.5,5,5,5,6,6,2009,2000,1,8
A31c,899,378,4.5,5,5,5,6,6,2040,2000,1,8
A31t,999,378,4.5,5,5,5,6,6,2070,2000,1,8
A31u,999,378,4.5,5,5,5,6,6,2009,2000,1,8
A5,0,0,6.2,8,7,9,9,9,879,4230,4,64
A51,2399,1,6.5,2,2,5,6,6,182,4500,8,128
A53,0,0,6.5,0,0,0,0,0,334,3945,0,0
A55,539,0,5.85,0,0,0,0,0,913,2800,4,64
A600FN,0,0,5.6,0,0,0,0,0,1064,3000,0,32
A605G,0,0,6.0,0,0,0,0,0,1064,3500,0,32
A680H,899,436,5.5,7,4,7,7,7,1339,3400,3,32
A680M,899,436,5.5,7,4,7,7,7,1339,3400,3,32
A680Q,899,436,5.5,7,4,7,7,7,1339,3400,3,32
A7,549,20,6.087999999999999,8,7,6,7,6,579,3200,3,64
A73,0,0,6.5,0,0,0,0,0,334,4040,8,128
A73 5G,0,0,6.5,0,0,0,0,0,334,4040,8,128
A8,1099,78,6.5,9,8,9,9,9,340,4230,4,128
A8-831,548,260,5.5,7,2,8,8,8,1856,2800,3,16
A8-930,549,260,5.5,7,2,8,8,8,1856,2800,3,16
A8000,809,296,5.7,5,6,6,7,6,1979,3050,2,16
A88,0,0,,0,0,0,0,0,5934,0,0,0
A888,759,19,,0,0,0,0,0,3621,3000,0,0
A8s独角精灵版,1599,1,6.4,8,6,8,6,8,721,3400,6,128
A9,1248,84,6.53,9,9,10,9,9,699,4020,6,128
A9 Star Lite,1198,11,6.0,4,4,6,7,7,899,3500,4,64
A900,659,1,2.2,0,0,0,0,0,0,0,0,0
A9000,1488,251,6.0,6,5,8,8,7,1826,4000,3,32
A999,1380,1,,0,0,0,0,0,3409,1500,0,0
A9X,1248,83,6.53,9,9,10,9,10,699,4020,6,128
A9x,1248,83,6.53,9,9,10,9,10,699,4020,6,128
AC2001,3185,0,6.44,0,0,0,0,0,152,4115,8,128
AC2003,3185,0,6.44,0,0,0,0,0,152,4115,8,128
AGM H1,2399,20,5.99,7,6,8,8,7,809,5400,4,64
AGM LA6825,2399,20,5.99,7,6,8,8,7,809,5400,4,64
AGM T61,2399,20,5.99,7,6,8,8,7,809,5400,4,64
AGM X1,1499,32,5.5,9,3,10,9,9,1613,5400,4,64
AGM X1三防手机,1499,32,5.5,9,3,10,9,9,1613,5400,4,64
AGM X2,2999,35,5.5,7,4,8,7,7,1202,8000,6,128
AGM X3,0,0,6.0,0,0,0,0,0,608,4100,8,64
AGS2-AL00,1999,23,6.5,9,9,9,9,8,159,4000,6,128
AGS2-W09,1999,23,6.5,9,9,9,9,8,159,4000,6,128
AKA-AL10,1658,22,6.3,9,9,8,9,8,0,4000,6,128
ALE-TL00,1120,233,5.0,4,5,4,6,5,2040,2200,2,16
ALE-UL00,1250,233,5.0,4,5,4,6,5,2040,2200,2,16
ALP-AL00,2099,127,6.0,9,7,9,9,9,1111,4000,6,64
ALP-TL00,2099,127,6.0,9,7,9,9,9,1111,4000,6,64
AMN-AL10,1199,17,6.3,7,8,9,5,4,270,5000,4,64
ANA-AN00,4188,14,6.1,8,9,8,9,9,236,3800,6,128
ANA-TN00,4188,14,6.1,8,9,8,9,9,236,3800,6,128
ANE,988,79,5.84,8,8,8,9,9,1005,3000,4,64
ANE-AL00,988,79,5.84,8,8,8,9,9,1005,3000,4,64
ANE-TL00,988,79,5.84,8,8,8,9,9,1005,3000,4,64
AORO_A6,5437,0,6.2,0,0,0,0,0,699,5000,6,128
AQM-AL00,1899,1,6.3,8,8,6,6,6,395,4000,8,64
AQM-AL10,1658,22,6.3,9,9,8,9,8,0,4000,6,128
AQM-TL00,1599,1,6.3,8,8,6,6,6,395,4000,6,64
AQUOS P1,0,0,5.3,0,0,0,0,0,0,3000,3,32
AQUOS R,0,2,5.3,6,9,5,6,8,1429,3160,4,64
AQUOS S1,0,0,5.5,0,0,0,0,0,1429,0,4,64
AQUOS r3,0,0,6.2,0,0,0,0,0,699,3200,6,128
ARE-AL00,1449,174,7.12,8,7,8,8,7,791,5000,6,64
ARE-AL10,1298,174,7.12,8,7,8,8,7,817,5000,4,64
ARE-TL00,1298,174,7.12,8,7,8,8,7,817,5000,4,64
ARS-AL00,1699,13,7.12,7,7,8,7,6,777,5000,4,64
ARS-TL00,1699,13,7.12,7,7,8,7,6,777,5000,4,64
